"Health and social care > NHS hospital activity > NHS activity and capacity during the coronavirus (COVID-19) pandemic > NHS hospital admissions by date and patient type"
"NHS hospital admissions by date and patient type"

Filters:
Hospital type: All NHS hospitals
Local Health Board: Wales

"","All admissions ","","All admissions "
"20 February 2021 ",83,990,1073
"21 February 2021 ",65,560,625
"22 February 2021 ",45,690,735
"23 February 2021 ",53,1119,1172
"24 February 2021 ",70,1069,1139
"25 February 2021 ",69,1076,1145
"26 February 2021 ",67,1098,1165
"27 February 2021 ",55,1052,1107
"28 February 2021 ",47,566,613
"01 March 2021 ",30,583,613
"02 March 2021 ",74,1078,1152
"03 March 2021 ",52,1093,1145
"04 March 2021 ",50,1098,1148
"05 March 2021 ",61,1057,1118
"06 March 2021 ",61,1048,1109
"07 March 2021 ",40,621,661
"08 March 2021 (14)",26,634,660
"09 March 2021 ",40,1048,1088
"10 March 2021 ",30,1190,1220
"11 March 2021 ",48,1038,1086
"12 March 2021 ",40,1150,1190
"13 March 2021 ",36,1185,1221
"14 March 2021 ",40,655,695
"15 March 2021 ",23,695,718
"16 March 2021 ",39,1104,1143
"17 March 2021 ",55,1224,1279
"18 March 2021 ",59,1168,1227
"19 March 2021 ",58,1119,1177
"20 March 2021 ",51,1091,1142
"21 March 2021 ",43,614,657
"22 March 2021 ",30,705,735
"23 March 2021 ",37,1191,1228
"24 March 2021 ",35,1210,1245
"25 March 2021 ",19,1251,1270
"26 March 2021 ",18,1118,1136
"27 March 2021 ",29,1143,1172
"28 March 2021 ",19,597,616
"29 March 2021 ",11,706,717
"30 March 2021 ",17,1121,1138
"31 March 2021 ",17,1275,1292
"01 April 2021 ",21,1275,1296
"02 April 2021 ",25,1197,1222
"03 April 2021 ",22,665,687
"04 April 2021 ",21,681,702
"05 April 2021 ",17,599,616
"06 April 2021 ",17,663,680
"07 April 2021 ",18,1243,1261
"08 April 2021 ",16,1218,1234
"09 April 2021 ",16,1278,1294
"10 April 2021 ",13,1189,1202
"11 April 2021 ",14,693,707
"12 April 2021 (15)",17,717,734
"13 April 2021 ",11,1309,1320
"14 April 2021 ",20,1333,1353
"15 April 2021 ",16,1266,1282
"16 April 2021 ",21,1223,1244
"17 April 2021 ",10,1139,1149
"18 April 2021 ",15,643,658
"19 April 2021 ",20,698,718
"20 April 2021 ",22,1282,1304
"21 April 2021 ",23,1234,1257
"22 April 2021 ",13,1268,1281
"23 April 2021 ",10,1191,1201
"24 April 2021 ",15,1236,1251
"25 April 2021 ",17,671,688
"26 April 2021 ",10,693,703
"27 April 2021 ",19,1235,1254
"28 April 2021 ",12,1402,1414
"29 April 2021 ",9,1324,1333
"30 April 2021 ",12,1270,1282
"01 May 2021 ",20,1223,1243
"02 May 2021 ",21,728,749
"03 May 2021 ",13,700,713
"04 May 2021 ",14,637,651
"05 May 2021 ",12,1329,1341
"06 May 2021 ",15,1255,1270
"07 May 2021 ",13,1337,1350
"08 May 2021 (5)",15,1347,1362
"09 May 2021 ",11,701,712
"10 May 2021 (5)",19,694,713
"11 May 2021 ",13,1407,1420
"12 May 2021 ",13,1425,1438
"13 May 2021 ",18,1310,1328
"14 May 2021 ",9,1252,1261
"15 May 2021 ",14,1273,1287
"16 May 2021 ",9,711,720
"17 May 2021 ",12,717,729
"18 May 2021 ",14,1303,1317
"19 May 2021 ",13,1258,1271
"20 May 2021 ",15,1419,1434
"21 May 2021 ",12,1392,1404
"22 May 2021 ",21,1280,1301
"23 May 2021 ",22,667,689
"24 May 2021 ",18,660,678
"25 May 2021 ",24,1278,1302
"26 May 2021 ",22,1290,1312
"27 May 2021 ",27,1300,1327
"28 May 2021 ",18,1341,1359
"29 May 2021 ",7,1366,1373
"30 May 2021 ",12,655,667
"31 May 2021 ",6,702,708
"01 June 2021 ",7,568,575
"02 June 2021 (16)",6,1316,1322
"03 June 2021 (16)",2,1336,1338
"04 June 2021 (16)",5,1416,1421
"05 June 2021 (16)",9,1265,1274
"06 June 2021 (16)",5,689,694
"07 June 2021 (16)",12,686,698
"08 June 2021 (16)",17,1329,1346
"09 June 2021 (17)",5,1415,1420
"10 June 2021 ",6,1354,1360
"11 June 2021 ",8,1402,1410
"12 June 2021 ",8,1155,1163
"13 June 2021 ",10,680,690
"14 June 2021 ",3,667,670
"15 June 2021 ",8,1426,1434
"16 June 2021 ",11,1412,1423
"17 June 2021 ",13,1235,1248
"18 June 2021 ",8,1385,1393
"19 June 2021 ",8,1347,1355
"20 June 2021 ",5,697,702
"21 June 2021 ",10,625,635
"22 June 2021 ",6,1359,1365
"23 June 2021 ",5,1419,1424
"24 June 2021 ",8,1341,1349
"25 June 2021 ",4,1382,1386
"26 June 2021 ",8,1183,1191
"27 June 2021 ",3,700,703
"28 June 2021 ",1,654,655
"29 June 2021 ",6,1394,1400
"30 June 2021 ",7,1328,1335
"01 July 2021 ",8,1367,1375
"02 July 2021 ",5,1405,1410
"03 July 2021 ",9,1304,1313
"04 July 2021 ",3,720,723
"05 July 2021 ",6,743,749
"06 July 2021 ",7,1402,1409
"07 July 2021 ",8,1387,1395
"08 July 2021 ",5,1308,1313
"09 July 2021 ",17,1331,1348
"10 July 2021 ",8,1208,1216
"11 July 2021 ",5,765,770
"12 July 2021 ",3,669,672
"13 July 2021 (18)",9,1138,1147
"14 July 2021 ",11,1381,1392
"15 July 2021 ",8,1277,1285
"16 July 2021 ",19,1228,1247
"17 July 2021 ",17,1138,1155
"18 July 2021 ",9,774,783
"19 July 2021 ",14,676,690
"20 July 2021 ",27,1170,1197
"21 July 2021 ",31,1237,1268
"22 July 2021 (19)",21,1139,1160
"23 July 2021 (20)",25,1097,1122
"24 July 2021 ",23,1196,1219
"25 July 2021 ",14,761,775
"26 July 2021 (21)",10,710,720
"27 July 2021 (22)",12,1198,1210
"28 July 2021 (23)",26,1192,1218
"29 July 2021 ",12,1312,1324
"30 July 2021 ",10,1221,1231
"31 July 2021 ",14,1097,1111
"01 August 2021 ",21,684,705
"02 August 2021 ",13,722,735
"03 August 2021 (24)",9,1213,1222
"04 August 2021 ",12,1244,1256
"05 August 2021 ",7,1110,1117
"06 August 2021 ",17,1153,1170
"07 August 2021 ",18,1247,1265
"08 August 2021 ",15,718,733
"09 August 2021 ",12,710,722
"10 August 2021 ",12,1280,1292
"11 August 2021 (25)",14,1187,1201
"12 August 2021 ",13,1244,1257
"13 August 2021 ",18,1221,1239
"14 August 2021 ",13,1183,1196
"15 August 2021 ",17,677,694
"16 August 2021 ",9,688,697
"17 August 2021 ",22,1306,1328
"18 August 2021 ",17,1335,1352
"19 August 2021 ",21,1230,1251
"20 August 2021 ",26,1322,1348
"21 August 2021 ",28,1163,1191
"22 August 2021 ",12,684,696
"23 August 2021 ",19,662,681
"24 August 2021 ",28,1236,1264
"25 August 2021 ",37,1289,1326
"26 August 2021 ",25,1280,1305
"27 August 2021 ",37,1234,1271
"28 August 2021 ",37,1143,1180
"29 August 2021 ",22,727,749
"30 August 2021 ",39,672,711
"31 August 2021 ",23,545,568
"01 September 2021 ",40,1237,1277
"02 September 2021 ",39,1261,1300
"03 September 2021 ",36,1277,1313
"04 September 2021 ",40,1080,1120
"05 September 2021 ",38,603,641
"06 September 2021 ",40,670,710
"07 September 2021 ",44,1220,1264
"08 September 2021 ",41,1316,1357
"09 September 2021 ",41,1266,1307
"10 September 2021 ",45,1184,1229
"11 September 2021 ",37,1137,1174
"12 September 2021 ",37,721,758
"13 September 2021 ",36,689,725
"14 September 2021 ",52,1242,1294
"15 September 2021 ",43,1217,1260
"16 September 2021 ",30,1196,1226
"17 September 2021 ",38,1204,1242
"18 September 2021 ",52,1116,1168
"19 September 2021 ",32,635,667
"20 September 2021 ",24,647,671
"21 September 2021 ",40,1290,1330
"22 September 2021 ",38,1302,1340
"23 September 2021 ",43,1206,1249
"24 September 2021 ",33,1293,1326
"25 September 2021 ",37,1119,1156
"26 September 2021 ",28,682,710
"27 September 2021 ",17,628,645
"28 September 2021 ",41,1280,1321
"29 September 2021 ",52,1264,1316
"30 September 2021 ",34,1218,1252
"01 October 2021 ",39,1262,1301
"02 October 2021 ",35,1106,1141
"03 October 2021 ",28,665,693
"04 October 2021 ",20,656,676
"05 October 2021 ",36,1263,1299
"06 October 2021 ",27,1347,1374
"07 October 2021 ",36,1262,1298
"08 October 2021 ",37,1274,1311
"09 October 2021 ",28,1261,1289
"10 October 2021 ",34,684,718
"11 October 2021 ",37,753,790
"12 October 2021 ",38,1254,1292
"13 October 2021 ",51,1300,1351
"14 October 2021 ",37,1309,1346
"15 October 2021 ",48,1208,1256
"16 October 2021 ",38,1090,1128
"17 October 2021 ",35,651,686
"18 October 2021 ",29,688,717
"19 October 2021 ",41,1362,1403
"20 October 2021 ",51,1326,1377
"21 October 2021 ",47,1297,1344
"22 October 2021 ",49,1239,1288
"23 October 2021 ",46,1107,1153
"24 October 2021 ",38,608,646
"25 October 2021 ",35,720,755
"26 October 2021 ",52,1213,1265
"27 October 2021 (26)",48,1135,1183
"28 October 2021 (27)",39,1116,1155
"29 October 2021 ",49,1184,1233
"30 October 2021 ",48,1119,1167
"31 October 2021 ",43,599,642
"01 November 2021 ",37,640,677
"02 November 2021 ",42,1246,1288
"03 November 2021 ",50,1311,1361
"04 November 2021 ",42,1239,1281
"05 November 2021 ",39,1327,1366
"06 November 2021 ",51,1138,1189
"07 November 2021 ",46,607,653
"08 November 2021 ",24,662,686
"09 November 2021 ",38,1348,1386
"10 November 2021 ",45,1305,1350
"11 November 2021 ",36,1234,1270
"12 November 2021 ",43,1279,1322
"13 November 2021 ",34,1227,1261
"14 November 2021 ",32,677,709
"15 November 2021 ",30,658,688
"16 November 2021 ",50,1220,1270
"17 November 2021 ",22,1317,1339
"18 November 2021 ",32,1214,1246
"19 November 2021 ",38,1341,1379
"20 November 2021 ",38,1144,1182
"21 November 2021 ",35,625,660
"22 November 2021 ",21,645,666
"23 November 2021 ",25,1231,1256
"24 November 2021 ",35,1293,1328
"25 November 2021 ",35,1260,1295
"26 November 2021 ",26,1285,1311
"27 November 2021 ",28,1273,1301
"28 November 2021 ",21,628,649
"29 November 2021 ",21,649,670
"30 November 2021 ",29,1299,1328
"01 December 2021 ",30,1382,1412
"02 December 2021 ",17,1327,1344
"03 December 2021 ",30,1290,1320
"04 December 2021 ",25,1229,1254
"05 December 2021 ",26,672,698
"06 December 2021 ",18,610,628
"07 December 2021 ",23,1281,1304
"08 December 2021 ",29,1262,1291
"09 December 2021 ",32,1215,1247
"10 December 2021 ",27,1318,1345
"11 December 2021 ",22,1044,1066
"12 December 2021 ",20,681,701
"13 December 2021 ",13,688,701
"14 December 2021 ",34,1341,1375
"15 December 2021 ",24,1287,1311
"16 December 2021 ",22,1257,1279
"17 December 2021 ",27,1230,1257
"18 December 2021 ",21,1168,1189
"19 December 2021 ",21,608,629
"20 December 2021 ",18,607,625
"21 December 2021 ",32,1218,1250
"22 December 2021 ",25,1214,1239
"23 December 2021 ",28,1164,1192
"24 December 2021 ",32,1188,1220
"25 December 2021 ",32,835,867
"26 December 2021 ",24,392,416
"27 December 2021 ",21,486,507
"28 December 2021 ",32,523,555
"29 December 2021 ",36,547,583
"30 December 2021 ",52,1134,1186
"31 December 2021 ",53,1104,1157
"01 January 2022 ",76,1013,1089
"02 January 2022 ",43,649,692
"03 January 2022 ",41,563,604
"04 January 2022 ",57,551,608
"05 January 2022 ",47,1136,1183
"06 January 2022 ",56,1202,1258
"07 January 2022 ",47,1243,1290
"08 January 2022 ",44,1125,1169
"09 January 2022 ",46,637,683
"10 January 2022 ",47,592,639
"11 January 2022 ",49,1100,1149
"12 January 2022 ",40,1224,1264
"13 January 2022 ",39,1226,1265
"14 January 2022 ",49,1222,1271
"15 January 2022 ",47,1178,1225
"16 January 2022 ",42,619,661
"17 January 2022 ",31,630,661
"18 January 2022 (28)",31,1216,1247
"19 January 2022 ",38,1212,1250
"20 January 2022 ",40,1207,1247
"21 January 2022 ",33,1189,1222
"22 January 2022 ",24,1109,1133
"23 January 2022 ",25,626,651
"24 January 2022 ",20,690,710
"25 January 2022 ",23,1227,1250
"26 January 2022 ",23,1298,1321
"27 January 2022 ",29,1276,1305
"28 January 2022 ",31,1302,1333
"29 January 2022 ",14,1078,1092
"30 January 2022 ",20,671,691
"31 January 2022 ",25,677,702
"01 February 2022 ",30,1137,1167
"02 February 2022 ",23,1159,1182
"03 February 2022 ",29,1071,1100
"04 February 2022 ",36,1299,1335
"05 February 2022 ",22,1176,1198
"06 February 2022 ",29,662,691
"07 February 2022 ",18,630,648
"08 February 2022 ",20,1151,1171
"09 February 2022 ",22,1197,1219
"10 February 2022 ",21,1270,1291
"11 February 2022 ",20,1336,1356
"12 February 2022 ",18,1289,1307
"13 February 2022 ",17,647,664
"14 February 2022 ",30,619,649
"15 February 2022 ",23,1195,1218
"16 February 2022 (29)",27,1270,1297
"17 February 2022 ",19,1264,1283
"18 February 2022 ",19,1152,1171
"19 February 2022 ",21,973,994
"20 February 2022 ",14,573,587
"21 February 2022 ",16,501,517
"22 February 2022 ",20,1180,1200
"23 February 2022 ",26,1259,1285
"24 February 2022 ",28,1092,1120
"25 February 2022 ",19,1203,1222
"26 February 2022 ",23,1056,1079
"27 February 2022 ",9,634,643
"28 February 2022 ",18,614,632
"01 March 2022 ",14,1262,1276
"02 March 2022 ",24,1257,1281
"03 March 2022 ",14,1292,1306
"04 March 2022 ",32,1243,1275
"05 March 2022 ",19,1262,1281
"06 March 2022 ",20,629,649
"07 March 2022 ",18,606,624
"08 March 2022 ",22,1302,1324
"09 March 2022 ",23,1300,1323
"10 March 2022 ",30,1160,1190
"11 March 2022 ",35,1299,1334
"12 March 2022 ",25,1172,1197
"13 March 2022 ",12,673,685
"14 March 2022 ",26,652,678
"15 March 2022 ",30,1166,1196
"16 March 2022 ",24,1275,1299
"17 March 2022 ",38,1288,1326
"18 March 2022 ",42,1100,1142
"19 March 2022 ",32,1119,1151
"20 March 2022 ",24,586,610
"21 March 2022 ",19,593,612
"22 March 2022 ",44,1186,1230
"23 March 2022 ",42,1133,1175
"24 March 2022 (30)",38,1161,1199
"25 March 2022 ",36,1119,1155
"26 March 2022 ",51,1101,1152
"27 March 2022 ",41,669,710
"28 March 2022 ",26,616,642
"29 March 2022 ",37,1196,1233
"30 March 2022 ",39,1225,1264
"31 March 2022 (31)",37,1191,1228
"01 April 2022 ",46,1222,1268
"02 April 2022 ",52,1127,1179
"03 April 2022 ",25,629,654
"04 April 2022 ",30,586,616
"05 April 2022 ",42,1282,1324
"06 April 2022 ",63,1315,1378
"07 April 2022 ",35,1151,1186
"08 April 2022 ",48,1244,1292
"09 April 2022 ",45,1158,1203
"10 April 2022 ",32,589,621
"11 April 2022 ",21,572,593
"12 April 2022 ",37,1179,1216
"13 April 2022 ",33,1286,1319
"14 April 2022 ",45,1317,1362
"15 April 2022 ",49,1291,1340
"16 April 2022 ",27,633,660
"17 April 2022 ",25,511,536
"18 April 2022 ",28,499,527
"19 April 2022 ",19,545,564
"20 April 2022 ",26,1232,1258
"21 April 2022 ",26,1127,1153
"22 April 2022 ",26,1209,1235
"23 April 2022 ",27,1165,1192
"24 April 2022 ",24,535,559
"25 April 2022 ",18,588,606
"26 April 2022 ",21,817,838
"27 April 2022 ",18,1317,1335
"28 April 2022 ",25,1326,1351
"29 April 2022 ",23,1249,1272
"30 April 2022 ",18,1227,1245
"01 May 2022 ",19,624,643
"02 May 2022 ",18,563,581
"03 May 2022 ",16,599,615
"04 May 2022 ",29,1458,1487
"05 May 2022 ",18,1312,1330
"06 May 2022 ",17,1417,1434
"07 May 2022 ",19,1290,1309
"08 May 2022 ",16,611,627
"09 May 2022 ",8,602,610
"10 May 2022 ",17,1363,1380
"11 May 2022 ",16,1304,1320
"12 May 2022 ",19,1324,1343
"13 May 2022 ",13,1166,1179
"14 May 2022 ",8,1091,1099
"15 May 2022 ",14,563,577
"16 May 2022 ",8,565,573
"17 May 2022 (32)",12,1222,1234
"18 May 2022 ",10,1253,1263
"19 May 2022 ",10,1252,1262
"20 May 2022 ",7,1118,1125
"21 May 2022 ",8,1118,1126
"22 May 2022 ",12,628,640
"23 May 2022 ",6,624,630
"24 May 2022 ",10,1163,1173
"25 May 2022 ",11,1188,1199
"26 May 2022 ",12,1180,1192
"27 May 2022 ",6,1137,1143
"28 May 2022 ",10,1096,1106
"29 May 2022 ",7,567,574
"30 May 2022 ",1,632,633
"31 May 2022 ",9,1213,1222
"01 June 2022 ",3,1160,1163
"02 June 2022 ",8,1257,1265
"03 June 2022 ",3,682,685
"04 June 2022 ",7,635,642
