"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Geslacht: Mannen,Waarde,2020,    21.2,    32.4,    46.4,    15.1,    71.1,     3.5,    16.5,    18.3,    10.4,    26.0,    37.0,    20.3,    20.2,    79.0,     1.4,    10.1,     1.4,     3.4,     1.9,     1.6,    12.1,    84.3
Geslacht: Vrouwen,Waarde,2020,    16.6,    29.8,    53.6,    12.6,    75.9,     2.5,    15.0,    15.8,     9.8,    26.7,    36.7,    18.7,    20.0,    82.2,     0.8,     5.5,     1.2,     2.6,     1.2,     1.7,     7.9,    71.5
Leeftijd: 0 tot 4 jaar,Waarde,2020,,,,,,,,,,,,,,    95.7,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2020,,,,,,,,,,,,,,    91.8,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2020,     2.2,     0.8,    97.0,     0.5,,     0.3,,     1.7,,,,,,    80.0,,     3.7,     0.0,     0.2,     0.0,     0.0,     3.7,
Leeftijd: 16 tot 20 jaar,Waarde,2020,    14.6,     3.4,    82.0,     7.7,,     1.2,,    13.3,,,,,,    57.9,     1.1,    18.9,     1.4,     5.7,     2.5,     4.6,    19.7,    69.3
Leeftijd: 20 tot 30 jaar,Waarde,2020,    25.7,    13.3,    61.0,    14.0,    54.7,     2.5,     9.7,    22.4,     7.4,     8.6,    40.8,     5.3,     3.3,    61.8,     1.1,    21.0,     3.7,    10.4,     4.3,     5.0,    27.7,    74.6
Leeftijd: 30 tot 40 jaar,Waarde,2020,    25.6,    24.2,    50.3,    17.1,    66.8,     4.1,    15.9,    23.5,    10.2,    18.3,    39.3,    10.6,     8.0,    76.2,     1.0,    11.5,     2.8,     4.6,     3.7,     2.5,    15.6,    77.9
Leeftijd: 40 tot 50 jaar,Waarde,2020,    23.2,    28.1,    48.7,    18.9,    81.5,     4.3,    18.4,    21.5,    10.8,    25.7,    34.1,    15.2,    12.4,    79.1,     1.0,     5.5,     0.8,     2.0,     1.5,     1.1,     7.3,    80.0
Leeftijd: 50 tot 55 jaar,Waarde,2020,    21.6,    34.1,    44.3,    17.4,    80.6,     5.0,    23.2,    19.5,,,,    18.0,    17.2,    81.7,     0.9,     3.7,     0.2,     0.6,     0.0,     0.8,     4.5,    80.7
Leeftijd: 55 tot 65 jaar,Waarde,2020,    19.1,    43.5,    37.4,    16.8,    87.8,     3.9,    20.3,    17.2,    12.0,    42.2,    38.2,    22.1,    20.9,    82.5,     1.3,     3.0,     0.2,     0.8,     0.1,     0.4,     3.8,    80.4
Leeftijd: 65 tot 75 jaar,Waarde,2020,    14.9,    54.4,    30.8,    13.0,    87.3,     2.4,    15.8,    13.0,    11.2,    52.1,    36.9,    24.9,    27.5,    87.6,     1.4,     1.1,     0.3,     0.0,     0.1,     0.1,     1.7,    78.5
Leeftijd: 75 jaar of ouder,Waarde,2020,     5.6,    52.8,    41.6,     4.6,,     0.2,,     4.7,,,,    27.1,    34.7,    92.2,     1.1,     0.4,     0.5,     0.0,     0.0,     0.2,     1.1,    74.1
Leeftijd: 0 tot 12 jaar,Waarde,2020,,,,,,,,,,,,,,    93.0,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2020,     4.2,     0.7,    95.1,     2.1,,     0.2,,     3.7,,,,,,    72.4,     0.8,     7.1,     0.6,     1.2,     0.7,     0.9,     7.2,
Leeftijd: 18 jaar of ouder,Waarde,2020,    20.2,    33.7,    46.1,    14.9,    73.7,     3.2,    16.0,    18.2,    10.2,    26.8,    36.8,    19.6,    20.1,    79.1,     1.1,     7.8,     1.3,     3.1,     1.6,     1.7,    10.2,    77.8
Herkomst: geboren in Nederland,Waarde,2020,    18.5,    32.2,    49.3,    13.4,    72.7,     3.0,    16.2,    16.5,    10.3,    26.4,    35.8,    19.6,    20.6,    81.0,     1.1,     7.4,     1.3,     3.1,     1.7,     1.6,     9.8,    78.5
"Herkomst: geb. in NL, ouders in NL",Waarde,2020,    18.2,    33.0,    48.7,    13.3,    73.0,     3.0,    16.7,    16.3,    10.4,    27.0,    35.8,    19.8,    20.9,    81.8,     1.2,     6.8,     1.2,     2.9,     1.6,     1.5,     9.1,    78.8
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2020,    20.2,    26.2,    53.5,    14.3,    70.7,     2.6,    12.9,    18.2,     9.0,    22.4,    35.8,    17.8,    18.1,    76.3,     1.0,    12.2,     2.1,     4.8,     2.1,     2.6,    14.8,    75.7
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2020,    21.1,    36.7,    42.2,    13.8,,     3.0,,    18.9,,,,,,    79.9,     1.1,     9.7,     2.0,     3.0,     2.3,     1.6,    13.2,    76.8
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2020,    19.8,    20.5,    59.7,    14.6,,     2.4,,    17.9,,,,,,    74.6,     0.9,    13.6,     2.2,     5.7,     1.9,     3.1,    15.7,    75.0
Herkomst: geboren buiten Nederland,Waarde,2020,    21.7,    24.0,    54.4,    16.5,    76.4,     3.0,    13.8,    20.0,     9.2,    26.1,    42.1,    18.9,    15.7,    77.7,     0.8,     9.7,     1.1,     2.2,     0.8,     1.9,    11.2,    74.0
Herkomst: geboren in Europa (excl. NL),Waarde,2020,    23.3,    32.8,    43.9,    17.7,,     2.0,,    22.9,,,,,,    81.7,     1.0,    13.4,     0.9,     3.0,     1.1,     2.8,    16.2,    73.8
Herkomst: geboren buiten Europa,Waarde,2020,    20.9,    20.1,    59.0,    16.0,,     3.4,,    18.8,,,,    17.5,    16.9,    76.0,     0.8,     8.0,     1.1,     1.8,     0.6,     1.5,     9.0,    74.1
Positie: alleenstaande <40 jaar,Waarde,2020,    30.8,    15.7,    53.5,    16.9,    54.9,     2.8,     9.3,    27.0,,,,,,    65.0,     1.2,    26.8,     6.5,    12.8,     6.7,     8.3,    35.0,    76.3
Positie: alleenstaande 40 tot 65 jaar,Waarde,2020,    35.1,    31.9,    32.9,    30.6,    87.2,     7.4,    21.0,    32.1,    12.5,    33.3,    30.7,    20.6,    15.9,    77.7,     1.3,     8.8,     1.2,     1.4,     1.4,     1.0,    11.1,    80.6
Positie: alleenstaande >=65 jaar,Waarde,2020,    15.1,    46.6,    38.4,    13.2,,     3.3,,    14.1,,,,    26.5,    30.3,    91.0,     1.4,     1.2,     0.5,     0.0,     0.2,     0.0,     1.9,    73.7
"Positie: kind <18 jaar, eenoudergezin",Waarde,2020,,,,,,,,,,,,,,    76.9,,,,,,,,
Positie: kind >= 18 jaar eenoudergezin,Waarde,2020,    27.9,    11.8,    60.3,    20.6,,     3.7,,    23.1,,,,,,,,    24.7,     4.1,    13.8,     4.3,     8.4,    30.4,    76.0
Positie: kind <18 jaar bij paar,Waarde,2020,     2.3,     0.9,    96.8,     0.8,,     0.0,,     1.7,,,,,,    87.6,     0.8,     4.8,     0.2,     0.7,     0.4,     0.4,     5.0,
Positie: kind >=18 jaar bij paar,Waarde,2020,    20.7,     5.8,    73.4,     9.7,,     2.0,,    17.8,,,,,,    56.8,     1.2,    19.3,     1.3,     7.6,     2.1,     2.6,    23.2,    73.6
Positie: ouder in eenoudergezin,Waarde,2020,    34.5,    25.7,    39.8,    26.6,,     4.6,,    34.2,,,,,,    78.7,     1.0,     6.3,     1.0,     3.8,     1.0,     1.8,     9.7,    76.5
Positie: partner in paar met kind,Waarde,2020,    15.9,    32.5,    51.6,    11.9,    74.5,     2.8,    17.8,    14.4,    10.2,    26.6,    35.1,    15.7,    14.9,    81.6,     0.9,     3.0,     0.5,     1.2,     0.6,     0.4,     4.2,    79.6
"Positie: partner paar <40, geen kind",Waarde,2020,    27.8,    19.0,    53.2,    16.9,    60.7,     3.4,    12.1,    25.3,,,,,,    68.0,     1.1,    16.9,     2.8,     6.9,     5.8,     3.8,    24.3,    76.2
"Positie: partner paar 40-65, geen kind",Waarde,2020,    17.1,    44.2,    38.8,    15.1,    88.7,     4.4,    25.6,    15.6,    12.7,    38.6,    30.4,    20.8,    20.4,    84.0,     1.2,     3.5,     0.2,     0.9,     0.4,     1.2,     4.0,    80.2
"Positie: partner paar >=65, geen kind",Waarde,2020,     8.5,    58.5,    32.9,     7.4,    86.2,     0.5,     5.9,     6.7,,,,    25.6,    30.5,    89.0,     1.2,     0.7,     0.1,     0.0,     0.0,     0.3,     1.0,    78.2
Positie: overig lid,Waarde,2020,    30.3,    18.8,    50.8,    21.1,,     4.7,,    27.8,,,,,,    65.2,     1.0,    16.6,     4.1,     7.8,     4.3,     3.8,    20.3,    75.3
Laag onderwijsniveau,Waarde,2020,    23.6,    41.0,    35.4,    20.8,    88.3,     5.5,    23.3,    22.1,    12.9,    35.9,    31.5,    23.9,    23.9,    83.9,     1.2,     4.7,     0.8,     0.4,     0.5,     0.4,     5.3,    78.0
Middelbaar onderwijsniveau,Waarde,2020,    23.4,    37.7,    38.9,    17.7,    75.4,     3.3,    14.1,    20.9,    10.1,    27.2,    37.0,    20.1,    19.8,    79.1,     1.1,     6.2,     1.3,     2.4,     1.7,     1.7,     8.6,    79.9
Hoog onderwijsniveau,Waarde,2020,    13.5,    32.8,    53.8,     8.5,    63.4,     1.9,    14.3,    11.8,     8.5,    25.5,    44.3,    16.4,    19.2,    83.1,     1.0,     5.7,     1.3,     3.3,     1.8,     1.6,     8.6,    77.4
Vermogen: 1e 20%-groep,Waarde,2020,    28.1,    26.9,    45.0,    19.7,    70.2,     5.3,    18.9,    25.7,    10.3,    23.0,    39.1,    16.3,    12.9,    73.0,     1.2,    11.7,     2.6,     5.0,     3.2,     3.4,    15.7,    79.0
Vermogen: 2e 20%-groep,Waarde,2020,    27.5,    27.2,    45.3,    22.3,    81.0,     5.6,    20.3,    25.0,    11.7,    29.2,    35.2,    22.1,    17.7,    76.0,     1.0,    10.8,     1.8,     3.9,     1.7,     1.6,    12.9,    77.4
Vermogen: 3e 20%-groep,Waarde,2020,    16.7,    30.5,    52.8,    12.9,    77.1,     2.7,    16.3,    14.7,    10.1,    25.5,    34.7,    19.0,    18.7,    83.3,     1.0,     6.2,     1.1,     2.3,     1.5,     1.1,     8.3,    78.6
Vermogen: 4e 20%-groep,Waarde,2020,    15.4,    35.6,    49.0,    10.6,    69.1,     1.8,    11.6,    13.8,     9.1,    27.8,    39.6,    20.4,    22.0,    83.2,     1.0,     5.5,     0.5,     2.2,     0.8,     1.2,     7.2,    78.2
Vermogen: 5e 20%-groep,Waarde,2020,    10.4,    34.4,    55.3,     6.9,    66.4,     0.8,     7.8,     9.0,     8.2,    29.4,    34.7,    19.6,    25.4,    84.4,     1.2,     5.0,     0.8,     2.0,     0.9,     1.2,     6.4,    76.7
Totaal personen,Waarde,2021,    19.4,    30.0,    50.6,    14.2,    73.0,     2.5,    13.1,    16.7,     9.8,    26.7,    32.6,    19.5,    20.7,    82.9,     1.1,     7.9,     1.2,     2.9,     1.9,     2.2,    10.0,    78.1
Geslacht: Mannen,Waarde,2021,    23.1,    31.6,    45.3,    16.9,    73.3,     3.3,    14.5,    18.9,    10.4,    26.2,    33.7,    20.4,    20.3,    81.0,     1.3,    10.4,     1.4,     3.5,     2.6,     2.9,    12.6,    84.4
Geslacht: Vrouwen,Waarde,2021,    15.8,    28.4,    55.8,    11.5,    72.5,     1.8,    11.2,    14.5,     9.0,    27.4,    31.1,    18.6,    21.1,    84.7,     0.8,     5.5,     1.0,     2.4,     1.2,     1.6,     7.4,    72.0
Leeftijd: 0 tot 4 jaar,Waarde,2021,,,,,,,,,,,,,,    96.1,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2021,,,,,,,,,,,,,,    93.4,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2021,     2.3,     0.9,    96.8,     2.0,,     0.2,,     2.3,,,,,,    80.4,,     1.3,     0.0,     0.0,     0.0,     0.3,     1.6,
Leeftijd: 16 tot 20 jaar,Waarde,2021,    19.0,     2.0,    78.9,     8.0,,     1.4,,    16.1,,,,,,    60.5,     1.1,    19.1,     0.8,     4.1,     1.2,     2.4,    20.1,    71.7
Leeftijd: 20 tot 30 jaar,Waarde,2021,    27.0,    14.9,    58.1,    14.7,    54.3,     1.7,     6.5,    23.5,     7.4,     7.8,    41.2,     5.9,     3.3,    64.9,     1.2,    23.5,     4.3,    11.9,     6.2,     7.7,    29.1,    75.0
Leeftijd: 30 tot 40 jaar,Waarde,2021,    24.1,    21.3,    54.5,    16.9,    69.9,     2.6,    10.8,    20.2,     9.5,    17.6,    34.1,    10.0,     7.5,    79.3,     0.9,    11.3,     2.0,     3.8,     4.0,     3.3,    15.0,    78.2
Leeftijd: 40 tot 50 jaar,Waarde,2021,    21.1,    29.0,    49.9,    16.8,    79.7,     3.6,    17.0,    19.3,     9.9,    27.3,    34.3,    15.0,    12.9,    82.1,     1.0,     5.4,     1.0,     1.9,     1.5,     2.1,     7.7,    79.9
Leeftijd: 50 tot 55 jaar,Waarde,2021,    22.3,    29.6,    48.1,    17.4,    78.1,     4.0,    17.7,    19.6,,,,    18.6,    16.4,    84.2,     1.0,     4.9,     0.2,     0.8,     0.4,     0.9,     6.2,    81.3
Leeftijd: 55 tot 65 jaar,Waarde,2021,    20.3,    39.9,    39.8,    17.1,    84.3,     3.8,    18.7,    16.9,    12.3,    41.8,    21.3,    22.5,    21.1,    85.3,     1.1,     2.4,     0.2,     0.3,     0.5,     0.3,     3.3,    80.7
Leeftijd: 65 tot 75 jaar,Waarde,2021,    14.0,    54.8,    31.2,    13.1,    93.5,     2.0,    14.1,    12.4,    12.0,    51.6,    25.9,    24.7,    27.7,    91.1,     1.3,     0.9,     0.1,     0.0,     0.1,     0.2,     1.3,    78.6
Leeftijd: 75 jaar of ouder,Waarde,2021,    10.4,    50.7,    38.9,     8.9,,     1.5,,     7.6,,,,    25.7,    36.1,    91.1,     1.1,     0.2,     0.0,     0.0,     0.0,     0.4,     0.5,    73.8
Leeftijd: 0 tot 12 jaar,Waarde,2021,,,,,,,,,,,,,,    94.2,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2021,     6.4,     0.8,    92.8,     2.5,,     0.4,,     5.0,,,,,,    74.4,     0.8,     6.7,     0.2,     1.0,     0.2,     0.8,     6.8,
Leeftijd: 18 jaar of ouder,Waarde,2021,    20.6,    32.6,    46.9,    15.2,    73.9,     2.7,    13.3,    17.7,     9.9,    27.4,    32.2,    19.6,    20.7,    81.6,     1.1,     8.0,     1.3,     3.1,     2.0,     2.4,    10.2,    78.1
Herkomst: geboren in Nederland,Waarde,2021,    18.6,    31.1,    50.3,    13.2,    70.9,     2.5,    13.4,    16.0,     9.9,    27.1,    30.9,    19.7,    21.1,    83.5,     1.1,     7.8,     1.2,     3.2,     2.1,     2.5,    10.0,    78.7
"Herkomst: geb. in NL, ouders in NL",Waarde,2021,    18.2,    32.1,    49.7,    12.9,    70.6,     2.5,    13.7,    15.7,    10.0,    28.0,    31.1,    19.9,    21.5,    83.3,     1.1,     7.1,     1.1,     2.9,     1.9,     2.2,     9.2,    78.8
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2021,    21.5,    24.1,    54.4,    15.7,    72.7,     2.4,    11.3,    17.7,     8.8,    21.4,    29.5,    17.8,    17.9,    84.6,     1.2,    13.0,     1.9,     5.1,     3.3,     4.7,    15.9,    78.0
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2021,    22.1,    30.4,    47.5,    17.7,,     3.9,,    17.7,,,,,,    82.0,     1.3,    10.5,     1.4,     3.2,     0.8,     3.5,    12.6,    79.9
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2021,    21.3,    20.8,    58.0,    14.6,,     1.7,,    17.7,,,,    16.9,    13.1,    85.8,     1.1,    14.3,     2.2,     6.2,     4.6,     5.4,    17.7,    77.0
Herkomst: geboren buiten Nederland,Waarde,2021,    24.2,    23.2,    52.6,    20.0,    82.7,     2.9,    12.0,    21.0,     9.5,    25.2,    40.3,    18.3,    16.5,    79.1,     0.9,     8.4,     0.8,     1.2,     0.7,     0.7,     9.4,    75.0
Herkomst: geboren in Europa (excl. NL),Waarde,2021,    30.6,    26.8,    42.6,    23.7,,     3.5,,    26.6,,,,,,    78.8,     0.9,    13.4,     1.8,     2.5,     1.0,     1.2,    15.6,    75.8
Herkomst: geboren buiten Europa,Waarde,2021,    21.6,    21.7,    56.7,    18.5,,     2.6,,    18.7,,,,    18.3,    16.6,    79.2,     0.9,     6.3,     0.3,     0.7,     0.6,     0.5,     6.9,    74.6
Positie: alleenstaande <40 jaar,Waarde,2021,    29.9,    17.0,    53.1,    18.0,,     3.2,,    26.3,,,,,,    64.4,     1.2,    28.6,     6.0,    16.0,     9.8,    11.6,    37.3,    77.1
Positie: alleenstaande 40 tot 65 jaar,Waarde,2021,    31.8,    31.4,    36.8,    26.4,    83.1,     7.3,    22.8,    25.8,,,,    22.8,    16.0,    80.6,     1.4,     9.0,     1.3,     1.9,     1.2,     1.8,    11.3,    81.7
Positie: alleenstaande >=65 jaar,Waarde,2021,    14.0,    45.1,    40.9,    12.8,,     2.3,,    12.4,,,,    25.6,    31.3,    90.7,     1.1,     0.8,     0.0,     0.0,     0.2,     0.5,     1.5,    74.1
"Positie: kind <18 jaar, eenoudergezin",Waarde,2021,,,,,,,,,,,,,,    82.4,,,,,,,,
Positie: kind >= 18 jaar eenoudergezin,Waarde,2021,,,,,,,,,,,,,,,,,,,,,,
Positie: kind <18 jaar bij paar,Waarde,2021,     5.3,     0.9,    93.8,     2.0,,     0.5,,     4.1,,,,,,    88.2,     0.9,     5.8,     0.0,     0.7,     0.0,     1.0,     6.1,
Positie: kind >=18 jaar bij paar,Waarde,2021,    23.1,     9.4,    67.5,    11.9,,     0.3,,    21.9,,,,,,    63.0,     1.3,    17.9,     1.7,     5.6,     3.5,     4.6,    20.5,    74.3
Positie: ouder in eenoudergezin,Waarde,2021,    25.6,    32.1,    42.3,    19.1,,     2.9,,    24.5,,,,,,    72.0,     0.9,     6.6,     0.0,     1.7,     1.2,     2.4,     9.1,    77.1
Positie: partner in paar met kind,Waarde,2021,    17.1,    28.9,    54.0,    12.6,    73.9,     2.1,    12.1,    14.9,    10.2,    26.9,    29.6,    15.1,    15.5,    84.6,     0.9,     3.3,     0.5,     0.9,     1.2,     0.7,     4.8,    80.1
"Positie: partner paar <40, geen kind",Waarde,2021,    24.1,    21.4,    54.6,    15.3,,     2.4,,    19.8,,,,,,    75.4,     1.0,    18.6,     2.3,     7.1,     4.0,     5.8,    23.4,    77.0
"Positie: partner paar 40-65, geen kind",Waarde,2021,    19.6,    40.5,    39.9,    17.0,    86.9,     3.4,    17.5,    17.1,    12.2,    39.2,    27.2,    21.7,    19.7,    84.0,     1.1,     2.8,     0.4,     0.4,     0.6,     0.6,     3.8,    80.2
"Positie: partner paar >=65, geen kind",Waarde,2021,    11.6,    56.9,    31.5,    10.5,    90.4,     1.4,    12.4,     9.3,    11.9,    53.3,    22.4,    24.8,    31.3,    91.9,     1.3,     0.6,     0.1,     0.0,     0.0,     0.2,     0.8,    77.7
Positie: overig lid,Waarde,2021,    30.5,    16.7,    52.9,    18.0,,     2.7,,    25.4,,,,,,    72.7,     1.4,    20.3,     6.3,    12.1,     5.8,     5.3,    25.7,    75.5
Laag onderwijsniveau,Waarde,2021,    23.6,    38.7,    37.7,    21.4,    90.5,     4.5,    18.9,    21.3,    12.2,    37.4,    28.2,    23.7,    23.7,    83.7,     1.1,     3.6,     0.5,     0.8,     0.7,     0.8,     4.5,    77.9
Middelbaar onderwijsniveau,Waarde,2021,    22.8,    37.8,    39.4,    17.7,    77.7,     2.8,    12.1,    20.5,    10.0,    29.2,    34.6,    20.4,    20.8,    81.3,     1.1,     6.7,     1.0,     2.1,     1.4,     1.4,     8.6,    80.7
Hoog onderwijsniveau,Waarde,2021,    14.2,    30.5,    55.3,     8.6,    60.9,     1.8,    12.7,    10.6,     8.8,    27.0,    29.8,    16.6,    19.8,    86.0,     1.0,     6.7,     1.4,     3.6,     2.8,     2.9,     9.6,    77.8
Vermogen: 1e 20%-groep,Waarde,2021,    30.2,    22.7,    47.1,    24.0,    79.4,     5.1,    16.7,    26.8,    10.6,    23.4,    36.1,    17.0,    12.7,    75.2,     1.2,    15.7,     3.3,     5.7,     4.1,     3.8,    18.9,    78.6
Vermogen: 2e 20%-groep,Waarde,2021,    26.8,    30.3,    43.0,    20.1,    75.2,     4.3,    16.1,    23.8,    11.1,    28.6,    37.1,    21.5,    19.7,    80.7,     1.1,     9.5,     0.9,     2.9,     2.0,     2.5,    11.8,    78.3
Vermogen: 3e 20%-groep,Waarde,2021,    18.7,    29.2,    52.1,    14.1,    75.2,     1.7,     8.9,    16.9,     9.1,    26.5,    28.1,    19.5,    18.2,    85.1,     1.0,     6.4,     0.7,     2.7,     1.6,     1.8,     8.3,    79.2
Vermogen: 4e 20%-groep,Waarde,2021,    14.1,    33.8,    52.0,     9.1,    64.2,     1.4,    10.0,    11.3,     8.5,    29.9,    32.1,    20.1,    22.6,    84.8,     1.1,     5.1,     0.7,     1.5,     1.2,     1.5,     6.6,    78.4
Vermogen: 5e 20%-groep,Waarde,2021,    11.3,    33.0,    55.7,     7.2,    64.0,     1.2,    10.8,     8.6,     8.6,    29.2,    19.6,    19.3,    25.7,    85.8,     1.2,     4.1,     0.5,     2.2,     1.1,     2.0,     5.8,    76.8
Totaal personen,Waarde,2022,    17.9,    30.3,    51.7,    12.3,    68.6,     2.3,    12.6,    15.5,     9.3,    25.4,    36.9,    20.0,    20.9,    83.9,     1.1,     7.7,     1.3,     3.7,     2.2,     2.3,    10.0,    78.5
Geslacht: Mannen,Waarde,2022,    21.3,    30.6,    48.0,    14.4,    67.7,     2.9,    13.5,    17.8,     9.8,    24.6,    36.2,    21.3,    20.5,    82.6,     1.4,    10.5,     1.8,     4.5,     3.1,     2.8,    13.2,    85.3
Geslacht: Vrouwen,Waarde,2022,    14.6,    30.0,    55.4,    10.2,    69.9,     1.6,    11.3,    13.2,     8.8,    26.4,    37.9,    18.7,    21.2,    85.2,     0.7,     5.0,     0.8,     2.9,     1.4,     1.7,     6.9,    71.8
Leeftijd: 0 tot 4 jaar,Waarde,2022,,,,,,,,,,,,,,    96.4,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2022,,,,,,,,,,,,,,    95.6,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2022,     2.9,     0.9,    96.2,     0.9,,     0.0,,     1.9,,,,,,    80.9,,     2.8,     0.0,     0.0,     0.0,     0.2,     2.8,
Leeftijd: 16 tot 20 jaar,Waarde,2022,    18.5,     4.3,    77.2,     6.5,,     1.1,,    16.8,,,,,,    59.4,     1.2,    19.8,     1.0,     6.7,     2.4,     3.7,    21.6,    69.7
Leeftijd: 20 tot 30 jaar,Waarde,2022,    27.8,    11.2,    61.0,    15.5,    55.7,     2.3,     8.5,    24.8,     7.0,     8.2,    40.5,     6.1,     3.2,    65.4,     1.2,    21.8,     4.7,    13.3,     8.2,     7.8,    29.1,    74.5
Leeftijd: 30 tot 40 jaar,Waarde,2022,    21.3,    22.6,    56.1,    13.9,    65.0,     2.8,    13.1,    18.8,     8.9,    17.2,    34.9,    10.5,     7.9,    78.8,     0.9,    10.6,     2.5,     6.4,     3.5,     3.2,    15.2,    78.5
Leeftijd: 40 tot 50 jaar,Waarde,2022,    20.0,    29.6,    50.4,    15.0,    74.8,     2.9,    14.6,    17.4,    10.8,    26.4,    35.0,    14.8,    13.5,    85.5,     0.9,     5.6,     0.7,     2.0,     2.0,     1.6,     7.6,    80.9
Leeftijd: 50 tot 55 jaar,Waarde,2022,    20.6,    32.6,    46.8,    16.9,    82.0,     3.4,    16.4,    16.9,    10.9,    34.2,    34.5,    18.6,    16.2,    84.2,     1.1,     5.0,     0.5,     0.8,     1.0,     1.4,     5.6,    81.8
Leeftijd: 55 tot 65 jaar,Waarde,2022,    18.7,    39.8,    41.5,    14.8,    79.5,     3.1,    16.6,    16.2,    11.8,    42.5,    36.6,    21.7,    21.8,    87.0,     1.1,     2.6,     0.3,     0.6,     0.2,     0.6,     3.3,    81.6
Leeftijd: 65 tot 75 jaar,Waarde,2022,    12.2,    55.4,    32.4,    10.2,    83.5,     1.8,    15.3,    10.2,    11.0,    51.6,    29.9,    25.1,    27.9,    89.8,     1.2,     0.9,     0.0,     0.1,     0.1,     0.1,     1.2,    78.6
Leeftijd: 75 jaar of ouder,Waarde,2022,     6.5,    51.9,    41.7,     5.1,,     0.4,,     4.4,,,,    27.6,    34.3,    93.6,     1.1,     0.4,     0.0,     0.0,     0.0,     0.1,     0.5,    75.0
Leeftijd: 0 tot 12 jaar,Waarde,2022,,,,,,,,,,,,,,    95.8,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2022,     6.6,     1.6,    91.8,     2.3,,     0.0,,     5.1,,,,,,    74.8,     0.8,     7.0,     0.1,     1.1,     0.3,     0.8,     7.2,
Leeftijd: 18 jaar of ouder,Waarde,2022,    18.9,    32.8,    48.4,    13.1,    69.6,     2.4,    13.0,    16.4,     9.5,    26.0,    36.4,    20.1,    20.9,    82.6,     1.1,     7.8,     1.4,     3.9,     2.4,     2.4,    10.3,    78.5
Herkomst: geboren in Nederland,Waarde,2022,    17.3,    31.8,    51.0,    11.7,    67.6,     2.2,    12.7,    14.9,     9.3,    25.5,    37.0,    20.2,    21.4,    84.3,     1.1,     7.5,     1.4,     3.9,     2.3,     2.2,    10.1,    79.1
"Herkomst: geb. in NL, ouders in NL",Waarde,2022,    16.6,    33.2,    50.2,    11.2,    67.6,     2.1,    12.5,    14.3,     9.3,    26.2,    36.8,    20.6,    21.6,    84.6,     1.1,     7.1,     1.3,     3.6,     2.3,     2.1,     9.4,    79.3
