"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Leeftijd: 50 tot 55 jaar,Waarde,2022,    20.6,    32.6,    46.8,    16.9,    82.0,     3.4,    16.4,    16.9,    10.9,    34.2,    34.5,    18.6,    16.2,    84.2,     1.1,     5.0,     0.5,     0.8,     1.0,     1.4,     5.6,    81.8
Leeftijd: 55 tot 65 jaar,Waarde,2022,    18.7,    39.8,    41.5,    14.8,    79.5,     3.1,    16.6,    16.2,    11.8,    42.5,    36.6,    21.7,    21.8,    87.0,     1.1,     2.6,     0.3,     0.6,     0.2,     0.6,     3.3,    81.6
Leeftijd: 65 tot 75 jaar,Waarde,2022,    12.2,    55.4,    32.4,    10.2,    83.5,     1.8,    15.3,    10.2,    11.0,    51.6,    29.9,    25.1,    27.9,    89.8,     1.2,     0.9,     0.0,     0.1,     0.1,     0.1,     1.2,    78.6
Leeftijd: 75 jaar of ouder,Waarde,2022,     6.5,    51.9,    41.7,     5.1,       .,     0.4,       .,     4.4,       .,       .,       .,    27.6,    34.3,    93.6,     1.1,     0.4,     0.0,     0.0,     0.0,     0.1,     0.5,    75.0
Leeftijd: 0 tot 12 jaar,Waarde,2022,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,    95.8,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 18 jaar,Waarde,2022,     6.6,     1.6,    91.8,     2.3,       .,     0.0,       .,     5.1,       .,       .,       .,       .,       .,    74.8,     0.8,     7.0,     0.1,     1.1,     0.3,     0.8,     7.2,       .
Leeftijd: 18 jaar of ouder,Waarde,2022,    18.9,    32.8,    48.4,    13.1,    69.6,     2.4,    13.0,    16.4,     9.5,    26.0,    36.4,    20.1,    20.9,    82.6,     1.1,     7.8,     1.4,     3.9,     2.4,     2.4,    10.3,    78.5
Herkomst: geboren in Nederland,Waarde,2022,    17.3,    31.8,    51.0,    11.7,    67.6,     2.2,    12.7,    14.9,     9.3,    25.5,    37.0,    20.2,    21.4,    84.3,     1.1,     7.5,     1.4,     3.9,     2.3,     2.2,    10.1,    79.1
"Herkomst: geb. in NL, ouders in NL",Waarde,2022,    16.6,    33.2,    50.2,    11.2,    67.6,     2.1,    12.5,    14.3,     9.3,    26.2,    36.8,    20.6,    21.6,    84.6,     1.1,     7.1,     1.3,     3.6,     2.3,     2.1,     9.4,    79.3
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2022,    21.9,    21.7,    56.4,    14.7,    67.7,     3.1,    14.2,    18.6,     9.6,    22.3,    37.9,    16.5,    19.5,    82.7,     1.0,    10.8,     2.1,     5.7,     3.0,     3.1,    14.5,    77.5
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2022,    19.8,    29.6,    50.6,    13.8,       .,     1.6,       .,    16.5,       .,       .,       .,       .,       .,    85.3,     1.0,     8.8,     2.6,     6.1,     3.4,     2.5,    13.0,    78.2
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2022,    22.9,    17.7,    59.3,    15.2,    66.7,     3.8,    16.7,    19.6,       .,       .,       .,    14.3,    15.1,    81.4,     1.0,    11.8,     1.8,     5.5,     2.8,     3.3,    15.2,    77.1
Herkomst: geboren buiten Nederland,Waarde,2022,    21.8,    22.0,    56.1,    16.0,    73.3,     2.6,    12.2,    19.0,     9.4,    24.6,    36.7,    18.0,    16.3,    81.3,     0.8,     8.8,     0.8,     2.4,     1.7,     2.6,     9.9,    74.8
Herkomst: geboren in Europa (excl. NL),Waarde,2022,    23.5,    29.6,    46.9,    15.3,       .,     3.0,       .,    21.2,       .,       .,       .,       .,       .,    83.7,     1.0,    13.1,     2.1,     3.5,     3.2,     3.7,    14.2,    75.3
Herkomst: geboren buiten Europa,Waarde,2022,    21.1,    18.8,    60.1,    16.2,    77.0,     2.5,    11.8,    18.0,     9.6,    24.6,    36.9,    18.7,    16.6,    80.3,     0.7,     7.0,     0.2,     2.0,     1.0,     2.1,     8.0,    74.6
Positie: alleenstaande <40 jaar,Waarde,2022,    33.8,    13.5,    52.7,    19.4,    57.3,     2.8,     8.2,    29.3,     7.3,    10.5,    43.5,       .,       .,    67.6,     1.4,    26.4,     7.2,    17.1,    11.2,    11.2,    34.6,    75.3
Positie: alleenstaande 40 tot 65 jaar,Waarde,2022,    33.0,    29.6,    37.4,    27.4,    83.1,     4.4,    13.3,    29.5,    11.7,    36.1,    37.8,    21.4,    17.5,    85.1,     1.2,    10.2,     1.0,     2.3,     2.2,     2.5,    12.2,    80.1
Positie: alleenstaande >=65 jaar,Waarde,2022,    12.4,    50.3,    37.3,    10.9,       .,     2.3,       .,    10.3,       .,       .,       .,    27.4,    29.9,    92.3,     1.0,     1.1,     0.0,     0.0,     0.0,     0.1,     1.2,    75.2
"Positie: kind <18 jaar, eenoudergezin",Waarde,2022,    12.6,     1.0,    86.4,     5.4,       .,     0.0,       .,     9.5,       .,       .,       .,       .,       .,    82.0,       .,    10.7,     0.0,     2.6,     0.0,     1.6,    11.4,       .
Positie: kind >= 18 jaar eenoudergezin,Waarde,2022,    30.3,     7.7,    62.1,    19.8,       .,     3.6,       .,    29.5,       .,       .,       .,       .,       .,       .,       .,    28.2,     2.6,     7.4,     4.7,     7.0,    31.9,    76.2
Positie: kind <18 jaar bij paar,Waarde,2022,     5.6,     1.4,    93.0,     1.7,       .,     0.0,       .,     4.4,       .,       .,       .,       .,       .,    90.1,     0.7,     5.9,     0.0,     0.4,     0.2,     0.5,     6.1,       .
Positie: kind >=18 jaar bij paar,Waarde,2022,    21.1,     5.4,    73.6,    10.1,       .,     1.1,       .,    18.7,       .,       .,       .,       .,       .,    65.6,     1.2,    17.1,     2.1,     8.8,     3.4,     3.3,    21.1,    73.3
Positie: ouder in eenoudergezin,Waarde,2022,    22.8,    32.4,    44.8,    18.0,       .,     5.4,       .,    21.2,       .,       .,       .,       .,       .,    86.9,     0.8,     5.5,     0.0,     1.9,     0.9,     0.7,     6.4,    75.1
Positie: partner in paar met kind,Waarde,2022,    16.3,    29.6,    54.1,    11.6,    71.1,     2.7,    16.3,    13.9,    10.3,    27.0,    33.5,    14.8,    15.2,    83.7,     0.9,     3.1,     0.4,     1.1,     1.1,     0.5,     4.4,    81.3
"Positie: partner paar <40, geen kind",Waarde,2022,    22.6,    20.8,    56.6,    11.6,    51.2,     1.8,     8.1,    20.3,       .,       .,       .,       .,       .,    71.3,     1.1,    17.8,     4.9,    13.3,     7.5,     7.7,    26.9,    77.5
"Positie: partner paar 40-65, geen kind",Waarde,2022,    16.6,    42.1,    41.2,    12.8,    77.0,     2.3,    13.8,    13.6,    10.6,    38.8,    33.8,    21.7,    20.1,    86.7,     1.1,     3.0,     0.4,     0.9,     0.7,     1.7,     4.2,    81.0
"Positie: partner paar >=65, geen kind",Waarde,2022,     8.1,    57.0,    35.0,     6.3,    78.2,     0.7,     8.4,     6.0,       .,       .,       .,    25.4,    31.0,    91.4,     1.2,     0.4,     0.0,     0.1,     0.1,     0.1,     0.7,    77.7
Positie: overig lid,Waarde,2022,    23.1,    18.0,    58.8,    17.2,       .,     4.1,       .,    21.6,       .,       .,       .,       .,       .,    72.0,     0.9,    16.8,     2.6,     8.2,     3.4,     2.9,    21.1,    77.0
Laag onderwijsniveau,Waarde,2022,    22.4,    40.2,    37.4,    19.5,    87.3,     4.2,    18.7,    19.7,    11.5,    36.1,    34.5,    24.8,    23.8,    84.2,     1.1,     4.8,     0.6,     0.8,     1.0,     0.6,     5.4,    79.0
Middelbaar onderwijsniveau,Waarde,2022,    20.3,    38.2,    41.5,    15.1,    74.2,     2.9,    14.2,    17.5,    10.8,    28.6,    36.6,    19.9,    21.0,    83.2,     1.0,     5.2,     0.9,     2.3,     1.4,     1.2,     7.1,    81.3
Hoog onderwijsniveau,Waarde,2022,    13.0,    31.1,    55.9,     7.2,    55.1,     1.0,     7.8,    10.8,     7.1,    24.6,    36.4,    17.2,    20.0,    87.2,     1.0,     6.6,     1.7,     4.6,     2.8,     2.9,    10.1,    77.4
Vermogen: 1e 20%-groep,Waarde,2022,    30.7,    22.4,    46.9,    22.6,    73.8,     4.3,    14.2,    27.2,    10.1,    21.9,    39.8,    18.2,    13.5,    77.5,     1.2,    16.1,     3.2,     7.9,     4.8,     5.0,    19.8,    79.0
Vermogen: 2e 20%-groep,Waarde,2022,    24.6,    29.0,    46.5,    17.9,    72.8,     3.1,    12.5,    21.8,     9.7,    28.6,    38.2,    23.8,    19.9,    79.4,     1.0,     8.4,     1.0,     3.0,     1.9,     2.7,    10.2,    78.9
Vermogen: 3e 20%-groep,Waarde,2022,    16.6,    29.7,    53.7,    11.8,    71.4,     2.2,    13.2,    14.9,     9.6,    24.9,    36.1,    19.2,    17.4,    84.4,     0.9,     6.1,     0.9,     2.7,     1.7,     1.5,     8.5,    79.9
Vermogen: 4e 20%-groep,Waarde,2022,    11.8,    35.3,    52.9,     7.4,    63.0,     1.4,    11.7,     9.8,     8.5,    28.8,    35.6,    20.7,    22.7,    86.5,     1.0,     4.6,     0.6,     2.1,     1.1,     0.7,     5.9,    78.9
Vermogen: 5e 20%-groep,Waarde,2022,    10.5,    33.5,    56.0,     5.7,    54.4,     1.0,     9.3,     7.9,     7.8,    25.5,    31.5,    18.6,    26.2,    88.1,     1.2,     5.3,     1.0,     3.3,     2.1,     2.1,     7.5,    76.7
