"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Leeftijd: 50 tot 55 jaar,Waarde,2016,    28.0,    28.6,    43.4,    23.2,    82.8,     5.6,    20.1,    24.9,    12.6,    35.4,    39.3,    18.6,    16.8,       .,     1.1,     2.5,     0.3,     0.7,     0.4,     1.1,     3.4,    80.3
Leeftijd: 55 tot 65 jaar,Waarde,2016,    24.7,    45.6,    29.8,    20.9,    84.8,     5.1,    20.9,    22.6,    12.3,    42.1,    28.9,    20.7,    22.5,       .,     1.5,     1.6,     0.0,     0.1,     0.3,     0.4,     2.0,    79.2
Leeftijd: 65 tot 75 jaar,Waarde,2016,    16.0,    51.6,    32.4,    13.0,    81.6,     2.8,    17.5,    12.9,    11.8,    50.4,    35.4,    23.9,    28.0,       .,     1.4,     0.9,     0.3,     0.3,     0.1,     0.3,     1.2,    79.4
Leeftijd: 75 jaar of ouder,Waarde,2016,    10.3,    48.6,    41.1,     8.9,       .,     1.1,       .,     8.5,       .,       .,       .,    28.3,    33.6,       .,     1.1,     0.4,     0.2,     0.2,     0.3,     0.3,     0.7,    73.5
Leeftijd: 0 tot 12 jaar,Waarde,2016,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 18 jaar,Waarde,2016,     7.5,     2.6,    89.9,     3.7,       .,     0.0,       .,     6.2,       .,       .,       .,       .,       .,       .,     0.7,     5.2,     0.6,     0.7,     0.0,     1.0,     5.7,       .
Leeftijd: 18 jaar of ouder,Waarde,2016,    24.1,    32.3,    43.5,    18.6,    77.1,     4.1,    16.9,    22.4,    10.7,    27.5,    33.0,    18.9,    20.1,       .,     1.3,     6.6,     1.4,     2.9,     1.7,     1.5,     8.4,    77.6
Herkomst: geboren in Nederland,Waarde,2016,    22.2,    31.1,    46.7,    16.7,    75.2,     3.4,    15.4,    20.5,    10.4,    27.2,    33.7,    18.9,    20.2,       .,     1.3,     6.1,     1.4,     3.0,     1.7,     1.5,     7.9,    78.1
"Herkomst: geb. in NL, ouders in NL",Waarde,2016,    21.8,    32.4,    45.7,    16.6,    76.0,     3.5,    15.9,    20.1,    10.6,    28.1,    33.6,    19.0,    20.5,       .,     1.3,     5.5,     1.3,     2.8,     1.5,     1.5,     7.3,    78.4
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2016,    25.3,    20.6,    54.1,    17.6,    69.7,     3.0,    12.0,    24.0,     9.2,    21.6,    34.6,    18.2,    15.7,       .,     1.3,    10.3,     2.3,     4.4,     2.9,     2.2,    12.7,    74.7
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2016,    20.5,    28.4,    51.1,    13.4,       .,     3.8,       .,    18.6,       .,       .,       .,       .,       .,       .,     1.2,     6.3,     1.3,     1.7,     1.9,     2.0,     7.8,    75.2
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2016,    28.0,    16.2,    55.8,    20.0,    71.5,     2.5,     9.1,    27.0,     9.0,    19.2,    36.2,       .,       .,       .,     1.3,    12.5,     2.9,     6.0,     3.5,     2.3,    15.5,    74.3
Herkomst: geboren buiten Nederland,Waarde,2016,    26.2,    20.6,    53.2,    21.7,    83.0,     5.8,    22.1,    24.7,    11.3,    24.6,    30.3,    16.8,    18.0,       .,     1.0,     9.4,     0.5,     1.1,     1.0,     1.2,    10.0,    74.3
Herkomst: geboren in Europa (excl. NL),Waarde,2016,    26.2,    30.9,    42.9,    20.9,       .,     7.9,       .,    25.0,       .,       .,       .,       .,       .,       .,     0.9,     9.6,     0.4,     1.5,     0.8,     0.9,    11.3,    76.0
Herkomst: geboren buiten Europa,Waarde,2016,    26.2,    17.0,    56.8,    22.0,    84.1,     5.1,    19.3,    24.5,    10.9,    25.3,    32.5,       .,       .,       .,     1.0,     9.3,     0.5,     0.9,     1.0,     1.3,     9.5,    73.7
Positie: alleenstaande <40 jaar,Waarde,2016,    34.1,    12.4,    53.5,    23.7,    69.4,     4.1,    12.3,    33.1,     8.9,    12.8,    29.2,       .,       .,       .,     1.6,    22.2,     6.4,    12.3,     6.3,     6.4,    28.4,    74.5
Positie: alleenstaande 40 tot 65 jaar,Waarde,2016,    37.9,    28.2,    33.9,    32.0,    84.5,     9.8,    26.1,    35.3,    12.7,    35.5,    34.6,    22.7,    15.6,       .,     1.4,     8.5,     0.6,     1.8,     2.8,     1.6,     9.9,    79.4
Positie: alleenstaande >=65 jaar,Waarde,2016,    17.6,    42.9,    39.5,    15.5,       .,     3.1,       .,    15.4,       .,       .,       .,    25.7,    31.1,       .,     1.1,     0.9,     0.0,     0.0,     0.0,     0.2,     1.1,    74.5
"Positie: kind <18 jaar, eenoudergezin",Waarde,2016,    14.0,     0.9,    85.1,    10.1,       .,     0.0,       .,    12.3,       .,       .,       .,       .,       .,       .,       .,     7.2,     0.7,     1.1,     0.0,     0.8,     8.1,       .
Positie: kind >= 18 jaar eenoudergezin,Waarde,2016,    33.4,    11.8,    54.8,    23.2,       .,     1.8,       .,    32.6,       .,       .,       .,       .,       .,       .,       .,    28.4,     2.8,     7.9,     4.5,     6.0,    28.4,    71.2
Positie: kind <18 jaar bij paar,Waarde,2016,     5.8,     3.1,    91.1,     2.0,       .,     0.0,       .,     4.7,       .,       .,       .,       .,       .,       .,     0.8,     4.8,     0.6,     0.7,     0.0,     1.1,     5.1,       .
Positie: kind >=18 jaar bij paar,Waarde,2016,    24.9,     8.2,    66.8,    15.0,    60.2,     2.5,    10.0,    24.6,     7.7,     6.6,    26.7,       .,       .,       .,     1.4,    16.2,     4.4,     8.5,     3.6,     4.6,    20.4,    74.3
Positie: ouder in eenoudergezin,Waarde,2016,    35.2,    25.7,    39.2,    30.3,       .,     8.2,       .,    34.8,       .,       .,       .,       .,       .,       .,     1.1,     4.2,     1.6,     2.1,     1.1,     0.3,     5.5,    76.0
Positie: partner in paar met kind,Waarde,2016,    23.1,    31.5,    45.4,    17.7,    76.6,     3.7,    16.1,    21.6,    10.3,    26.8,    35.7,    14.1,    14.6,       .,     1.1,     2.8,     0.4,     1.0,     0.6,     0.1,     3.8,    79.5
"Positie: partner paar <40, geen kind",Waarde,2016,    24.6,    20.5,    55.0,    17.2,       .,     2.7,       .,    23.8,       .,       .,       .,       .,       .,       .,     1.1,    10.9,     2.1,     6.8,     4.3,     2.8,    17.6,    76.3
"Positie: partner paar 40-65, geen kind",Waarde,2016,    22.4,    43.1,    34.4,    18.4,    82.1,     4.4,    19.8,    19.9,    12.4,    38.7,    34.9,    19.6,    21.7,       .,     1.4,     2.5,     0.0,     0.6,     0.2,     0.5,     3.1,    79.5
"Positie: partner paar >=65, geen kind",Waarde,2016,    11.6,    54.3,    34.1,     9.4,    81.1,     1.6,    14.2,     8.7,       .,       .,       .,    25.5,    29.9,       .,     1.3,     0.4,     0.2,     0.2,     0.2,     0.1,     0.6,    78.2
Positie: overig lid,Waarde,2016,    31.6,    20.7,    47.7,    23.0,       .,     5.9,       .,    30.4,       .,       .,       .,       .,       .,       .,     1.5,    19.6,     5.4,     9.3,     6.0,     6.7,    23.0,    73.6
Laag onderwijsniveau,Waarde,2016,    28.9,    35.8,    35.3,    25.0,    86.6,     6.0,    20.9,    27.0,    12.2,    35.0,    31.3,    23.4,    23.0,       .,     1.3,     4.7,     0.8,     1.2,     1.2,     0.9,     5.5,    78.3
Middelbaar onderwijsniveau,Waarde,2016,    25.4,    34.8,    39.8,    21.2,    83.4,     5.2,    20.3,    23.9,    11.7,    28.9,    32.4,    18.5,    19.8,       .,     1.2,     4.6,     0.7,     1.5,     1.2,     0.6,     6.2,    79.4
Hoog onderwijsniveau,Waarde,2016,    16.6,    34.6,    48.8,    10.1,    60.9,     1.8,    10.8,    14.3,     8.2,    26.9,    36.3,    16.2,    19.3,       .,     1.2,     5.5,     1.1,     3.0,     1.9,     1.1,     7.5,    76.8
Vermogen: 1e 20%-groep,Waarde,2016,    27.9,    27.2,    44.9,    20.1,    72.1,     3.6,    12.8,    26.5,     9.9,    22.7,    35.3,    15.2,    11.1,       .,     1.2,     8.8,     2.2,     4.4,     1.9,     1.7,    11.4,    79.2
Vermogen: 2e 20%-groep,Waarde,2016,    37.1,    21.4,    41.5,    32.2,    86.9,     8.6,    23.2,    35.0,    12.0,    27.7,    32.4,    20.5,    17.1,       .,     1.3,    11.7,     1.6,     3.5,     3.2,     2.2,    13.8,    77.2
Vermogen: 3e 20%-groep,Waarde,2016,    22.4,    29.3,    48.3,    18.2,    81.0,     4.5,    19.9,    20.7,    11.5,    28.8,    31.4,    20.9,    18.6,       .,     1.2,     5.7,     1.1,     2.4,     1.9,     1.8,     7.5,    76.8
Vermogen: 4e 20%-groep,Waarde,2016,    18.7,    33.2,    48.1,    13.3,    71.4,     2.6,    13.8,    17.1,     9.7,    27.8,    32.8,    18.9,    22.6,       .,     1.2,     3.8,     1.0,     1.9,     0.7,     1.0,     4.9,    78.1
Vermogen: 5e 20%-groep,Waarde,2016,    13.0,    34.9,    52.1,     8.6,    66.2,     1.3,    10.2,    11.2,     9.0,    30.3,    32.2,    19.3,    26.1,       .,     1.3,     3.7,     0.7,     1.7,     0.8,     1.2,     4.8,    76.5
